date,data_datetime,precipitation,cloudrate,dswrf,visibility,precipitation_probability,apparent_temperature,pressure,wind_speed,humidity,precipitation_diff,cloudrate_diff,dswrf_diff,visibility_diff,precipitation_probability_diff,apparent_temperature_diff,pressure_diff,wind_speed_diff,humidity_diff,minute_of_day,distance_max
2025-07-13,2025-07-13 05:00:00,0.0,0.96,0.0,0.12,0,29.0,100220.38,7.75,0.98,0.0,0.09999999999999998,0.0,-5.87,0.0,0.10000000000000142,100.85000000000582,-1.08,0.0,5.0,420
2025-07-14,2025-07-14 05:00:00,0.0,0.0,0.0,9.95,0,29.9,100004.3,7.33,0.88,0.0,0.0,0.0,0.1899999999999995,0.0,0.0,101.9600000000064,-1.1300000000000008,0.010000000000000009,5.0,360
2025-07-15,2025-07-15 05:00:00,0.0,0.63,0.0,2.04,0,29.5,99816.64,7.75,0.66,0.0,0.26,0.0,-6.079999999999999,0.0,0.6999999999999993,54.61999999999534,-0.39000000000000057,0.12,5.0,420
2025-07-16,2025-07-16 05:00:00,0.0,0.39,0.0,10.06,0,32.9,99679.61,7.95,0.7,0.0,-0.17000000000000004,0.0,-0.049999999999998934,0.0,-0.30000000000000426,74.24000000000524,0.4400000000000004,0.0,5.0,420
2025-07-17,2025-07-17 05:00:00,0.0,0.82,0.0,11.01,0,31.7,99780.17,6.57,0.92,0.0,-0.13,0.0,-0.02999999999999936,0.0,0.0,84.36999999999534,-0.5899999999999999,0.010000000000000009,5.0,420
2025-07-19,2025-07-19 05:00:00,0.0,0.81,0.0,10.0,0,31.7,100042.4,1.72,0.87,0.0,0.08000000000000007,0.0,0.0,0.0,0.1999999999999993,62.55999999999767,-2.3500000000000005,0.010000000000000009,5.0,360
2025-07-20,2025-07-20 05:00:00,0.0,0.83,0.0,9.7,0,30.2,100207.03,13.77,0.85,0.0,0.06999999999999995,0.0,0.4499999999999993,0.0,-0.3000000000000007,86.38999999999942,0.9000000000000004,0.0,5.0,540
2025-07-21,2025-07-21 05:00:00,0.0,1.0,0.0,9.6,0,31.0,100318.92,11.23,0.82,0.0,0.0,0.0,-0.14000000000000057,0.0,-0.3000000000000007,-38.63999999999942,0.7300000000000004,0.009999999999999898,5.0,420
2025-07-22,2025-07-22 05:00:00,0.0,0.6,0.0,9.6,0,30.3,100508.06,12.18,0.81,0.0,-0.030000000000000027,0.0,-0.16999999999999993,0.0,-0.1999999999999993,65.00999999999476,0.02999999999999936,0.0,5.0,480
2025-07-23,2025-07-23 05:00:00,0.0,0.32,0.0,9.46,0,30.1,100638.12,5.73,0.85,0.0,0.16,0.0,-0.3899999999999988,0.0,0.5,104.69999999999709,-2.7699999999999996,0.010000000000000009,5.0,360
2025-07-24,2025-07-24 05:00:00,0.0,0.22,0.0,9.52,0,31.2,100477.73,6.15,0.9,0.0,-0.03,0.0,0.27999999999999936,0.0,-0.10000000000000142,51.13999999999942,0.07000000000000028,0.030000000000000027,5.0,540
2025-07-25,2025-07-25 05:00:00,0.0,0.94,0.0,8.35,0,30.8,100183.06,9.08,0.87,0.0,0.019999999999999907,0.0,0.1899999999999995,0.0,-0.3000000000000007,74.08999999999651,0.7100000000000009,0.010000000000000009,5.0,300
2025-07-26,2025-07-26 05:00:00,0.0,1.0,0.0,1.21,2,30.3,99775.81,11.68,0.97,0.0,0.0,0.0,-5.43,2.0,0.9000000000000021,83.22999999999593,-4.780000000000001,0.010000000000000009,5.0,480
2025-07-27,2025-07-27 05:00:00,0.5134,0.95,0.0,3.62,35,30.3,99843.3,8.76,0.96,-1.717,-0.050000000000000044,0.0,-1.5099999999999998,-41.0,-0.5,93.9600000000064,0.9299999999999997,0.0,5.0,480
2025-07-28,2025-07-28 05:00:00,7.4057,0.98,0.0,4.35,98,30.1,99646.28,7.49,0.98,5.778600000000001,0.04999999999999993,0.0,-1.8200000000000003,11.0,-0.09999999999999787,68.06999999999243,-0.4500000000000002,0.0,5.0,480
2025-07-29,2025-07-29 05:00:00,0.0,0.65,0.0,14.46,0,30.7,99607.52,7.09,0.92,0.0,0.15000000000000002,0.0,-0.5899999999999999,0.0,0.5,74.80999999999767,-2.4399999999999995,0.0,5.0,420
2025-07-30,2025-07-30 05:00:00,0.126,0.98,0.0,9.4,74,28.1,99100.02,18.63,0.97,0.046,0.08999999999999997,0.0,-0.2699999999999996,68.0,-0.3999999999999986,94.33000000000175,2.6899999999999995,-0.010000000000000009,5.0,360
2025-07-31,2025-07-31 05:00:00,0.9782,0.48,0.0,9.76,96,26.1,99027.69,11.09,0.93,0.42279999999999995,-0.41000000000000003,0.0,3.12,-3.0,0.40000000000000213,58.779999999998836,-2.2200000000000006,0.07000000000000006,5.0,300
2025-08-01,2025-08-01 05:00:00,0.0,0.9,0.0,9.57,0,29.9,99459.02,4.7,0.97,0.0,0.43000000000000005,0.0,-0.14000000000000057,0.0,0.1999999999999993,36.85000000000582,-1.0899999999999999,0.0,5.0,420
