hour_minute,date,data_datetime,precipitation,cloudrate,dswrf,visibility,precipitation_probability,apparent_temperature,pressure,wind_speed,humidity,precipitation_diff,cloudrate_diff,dswrf_diff,visibility_diff,precipitation_probability_diff,apparent_temperature_diff,pressure_diff,wind_speed_diff,humidity_diff,minute_of_day,distance_max,id,time,station_id,real_load,diff,is_increase
00:00:00,2025-06-22,2025-06-22 00:00:00,-0.17013338139902723,1.2011950810332168,-0.7866265065463038,2.214731582214489,0,-1.3821601181438667,100434.58,-0.768263830583868,1.2222478567074038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9127558428850273,2497,2025-06-22 00:00:00,1,0.0,0.0,0
00:00:00,2025-06-23,2025-06-23 00:00:00,1.5437446107858457,1.2011950810332168,-0.7866265065463038,-1.8192688078496666,80,-1.3267157950759019,100252.92,-0.9187197983827526,1.4170353830455544,1.8659999999999999,0.0,0.0,0.020000000000000018,10.0,-0.40000000000000213,-51.720000000001164,0.8899999999999997,0.0,0.0,1.4828996396015677,2545,2025-06-23 00:00:00,1,0.0,0.0,0
00:00:00,2025-06-24,2025-06-24 00:00:00,0.39673065735979385,1.2011950810332168,-0.7866265065463038,-0.877358668925596,79,-1.687103895017674,100304.73,-0.8886286048229757,1.3521062075995043,0.7881000000000001,0.0,0.0,-14.790000000000001,19.0,1.3999999999999986,-37.80000000000291,-2.0,0.010000000000000009,0.0,2.1993266450740006,2593,2025-06-24 00:00:00,1,0.0,0.0,0
00:00:00,2025-06-25,2025-06-25 00:00:00,-0.20287157351088952,-0.7214210195134803,-0.7866265065463038,0.12245578181757777,0,-1.520770925813779,100763.11,-1.6833901288429662,0.5080269268008517,0.0,0.0,0.0,-0.46999999999999886,0.0,-0.1999999999999993,-2.0899999999965075,-0.47,0.04999999999999993,0.0,1.769470441790541,2641,2025-06-25 00:00:00,1,0.0,0.0,0
00:00:00,2025-06-26,2025-06-26 00:00:00,-0.20287157351088952,0.5411925390544998,-0.7866265065463038,-0.6766237212860398,0,-0.4950509490564284,100688.0,-1.440890510155352,0.6378852776929522,0.0,-0.07999999999999996,0.0,0.05000000000000071,0.0,-0.40000000000000213,-54.979999999995925,-0.8999999999999999,0.020000000000000018,0.0,1.6261850406960543,2689,2025-06-26 00:00:00,1,0.0,0.0,0
00:00:00,2025-06-27,2025-06-27 00:00:00,-0.20287157351088952,1.0290205048648555,-0.7866265065463038,-0.7422486080143561,0,-0.41188446445448085,100435.49,-1.070945836391036,0.5080269268008517,0.0,0.43999999999999995,0.0,-0.03999999999999915,0.0,-0.3000000000000007,-27.429999999993015,0.2999999999999998,0.030000000000000027,0.0,1.6261850406960543,2737,2025-06-27 00:00:00,1,0.0,0.0,0
00:00:00,2025-06-28,2025-06-28 00:00:00,-0.20287157351088952,-0.061418477534763295,-0.7866265065463038,-0.856127087925258,0,-0.9663276951341299,100423.14,-0.793044813515449,0.053522698678500645,0.0,0.18000000000000005,0.0,-0.16000000000000014,0.0,-1.3000000000000007,-13.0,2.0,-0.010000000000000009,0.0,1.6261850406960543,2785,2025-06-28 00:00:00,1,0.0,0.0,0
00:00:00,2025-06-29,2025-06-29 00:00:00,-0.20287157351088952,-1.6109896630500118,-0.7866265065463038,-0.5936275410119926,0,-1.5484930873477618,100230.16,-0.4177899291229367,1.0923895058153033,0.0,-0.49,0.0,-1.3200000000000003,0.0,-0.20000000000000284,-35.86999999999534,-0.2400000000000002,0.019999999999999907,0.0,1.6261850406960543,2833,2025-06-29 00:00:00,1,0.0,0.0,0
00:00:00,2025-06-30,2025-06-30 00:00:00,-0.20287157351088952,0.31162643749668506,-0.7866265065463038,-0.0744188783673717,0,0.1980030892931339,100235.64,-0.8461469197974082,-0.5957690557820011,0.0,-0.17000000000000004,0.0,0.2599999999999998,0.0,-1.3999999999999986,-4.919999999998254,1.4700000000000006,0.020000000000000018,0.0,1.6261850406960543,2881,2025-06-30 00:00:00,1,0.0,0.0,0
00:00:00,2025-07-01,2025-07-01 00:00:00,-0.20287157351088952,-1.582293900355285,-0.7866265065463038,-0.6689031463768262,0,-0.023774202978726892,100454.34,0.054818816786500836,-0.20619400310570035,0.0,-0.05,0.0,0.6999999999999993,0.0,-0.5,-10.680000000007567,0.5,0.030000000000000027,0.0,1.6261850406960543,2929,2025-07-01 00:00:00,1,0.0,0.0,0
