,is_increase,time,data_datetime,precipitation,cloudrate,dswrf,visibility,apparent_temperature,wind_speed,humidity,minute_of_day,distance_max
0,0,2025-06-22 00:00:00,2025-06-22 00:00:00,-0.17419386675057913,1.1788275005229742,-0.7881306953792551,2.1860895326344396,-1.3873074394126064,-0.797341246631643,1.2401159481155644,0.0,1.9065157721283066
1,0,2025-06-22 01:00:00,2025-06-22 01:00:00,-0.17797404667161604,1.1788275005229742,-0.7881306953792551,2.1860895326344396,-1.4425179646248862,-0.7494385499861689,1.2401159481155644,1.0,1.7634256622051065
2,0,2025-06-22 02:00:00,2025-06-22 02:00:00,-0.20618843303877543,1.1788275005229742,-0.7881306953792551,2.1860895326344396,-1.6357548028678666,-0.6607298524945505,1.2401159481155644,2.0,1.6203355522819065
3,0,2025-06-22 03:00:00,2025-06-22 03:00:00,-0.16389424609615977,1.1788275005229742,-0.7881306953792551,2.184183330528377,-1.718570590686287,-0.648310634845724,1.1756496031936838,3.0,1.4772454423587067
4,0,2025-06-22 04:00:00,2025-06-22 04:00:00,0.10323846832378046,1.1788275005229742,-0.7881306953792551,0.5353185087844007,-1.8565969037169872,-0.5666986331534349,1.2401159481155644,4.0,1.3341553324355067
5,0,2025-06-22 05:00:00,2025-06-22 05:00:00,0.29224746437562504,1.1788275005229742,-0.7881306953792551,-0.18903829151931162,-1.8842021663231276,-0.47444158776215195,1.304582293037445,5.0,1.1910652225123066
6,1,2025-06-22 06:00:00,2025-06-22 06:00:00,0.3731104435560662,1.1788275005229742,-0.7751897364888796,-0.4387507674134862,-2.0498337419599677,-0.08234914484919849,1.304582293037445,6.0,1.0479751125891068
7,1,2025-06-22 07:00:00,2025-06-22 07:00:00,0.19445585337488802,1.1788275005229742,-0.755234052218674,1.3778598396639814,-1.9118074289292672,-0.44605480456483404,1.2401159481155644,7.0,0.9048850026659068
8,1,2025-06-22 08:00:00,2025-06-22 08:00:00,1.4113998618675323,1.1788275005229742,-0.7356411985715632,-1.6167836689600494,-1.552939015049447,-1.5620102190093936,1.304582293037445,8.0,0.7617948927427068
9,1,2025-06-22 09:00:00,2025-06-22 09:00:00,0.29411016172801996,1.1788275005229742,-0.7086103171510122,-0.1852258873071869,-1.7461758532924274,-0.5010541970096375,1.3690486379593256,9.0,0.6187047828195069
10,1,2025-06-22 10:00:00,2025-06-22 10:00:00,0.7850404845165935,1.1788275005229742,-0.6548206772772311,-1.046829239247392,-1.5253337524433066,-0.7902445508323135,1.3690486379593256,10.0,0.475614672896307
11,2,2025-06-22 11:00:00,2025-06-22 11:00:00,2.4853544559557372,1.1788275005229742,-0.6468686394544069,-1.9884930796422176,-1.4425179646248862,-0.5436343718056144,1.3690486379593256,11.0,0.332524562973107
12,1,2025-06-22 12:00:00,2025-06-22 12:00:00,0.43896227348485384,1.1788275005229742,-0.7189509899092096,-0.5302484685044812,-1.5253337524433066,-0.04686566585255125,1.3690486379593256,12.0,0.18943445304990705
13,1,2025-06-22 13:00:00,2025-06-22 13:00:00,0.6392570240835621,1.1788275005229742,-0.6028754264041812,-0.7704299338683436,-1.249281126381906,-0.3981521079193602,1.3690486379593256,13.0,0.046344343126707065
14,2,2025-06-22 14:00:00,2025-06-22 14:00:00,0.7596749293942735,1.1788275005229742,-0.534391146295067,-1.052547845565579,-1.1112548133512057,-0.9339526407687352,1.304582293037445,14.0,-0.0967457667964929
15,2,2025-06-22 15:00:00,2025-06-22 15:00:00,0.7342545890557065,1.1788275005229742,-0.6363767872699201,-0.4597189905801725,-1.000833762926646,-1.2834649088857117,1.304582293037445,15.0,-0.23983587671969284
16,2,2025-06-22 16:00:00,2025-06-22 16:00:00,1.7297019682620878,1.1788275005229742,-0.7182253286630202,-1.3823208099143742,-1.1388600759573462,-1.1929820374442608,1.3690486379593256,16.0,-0.3829259866428928
